Time,ADS Pressure,P/F ratio,Purity
192,4.57,2.61E-07,0.99631
192,4.57,2.61E-07,0.996467
192,4.57,2.61E-07,0.996275
192,4.57,2.61E-07,0.996655
203,3.37,1.67E-07,0.997483
203,3.37,1.67E-07,0.993179
203,3.37,1.67E-07,0.988247
203,3.37,1.67E-07,0.98571
203,3.37,1.67E-07,0.984769
219,3.45,1.95E-07,0.963398
219,3.45,1.95E-07,0.955738
219,3.45,1.95E-07,0.954052
219,3.45,1.95E-07,0.953661
219,3.45,1.95E-07,0.953614
188,4.12,2.63E-07,0.984666
188,4.12,2.63E-07,0.994423
188,4.12,2.63E-07,0.996323
188,4.12,2.63E-07,0.996816
188,4.12,2.63E-07,0.996563
188,4.12,2.63E-07,0.996895
188,4.12,2.63E-07,0.996834
188,4.12,2.63E-07,0.996816
188,4.12,2.63E-07,0.996625
188,4.12,2.63E-07,0.996924
188,4.73,2.63E-07,0.995903
188,4.73,2.63E-07,0.996233
188,4.73,2.63E-07,0.996165
188,4.73,2.63E-07,0.996148
188,4.73,2.63E-07,0.996138
191,4.61,1.98E-07,0.996417
191,4.61,1.98E-07,0.996412
191,4.61,1.98E-07,0.996408
191,4.61,1.98E-07,0.996404
191,4.61,1.98E-07,0.996395
222,4.1,2.03E-07,0.995619
222,4.1,2.03E-07,0.987555
222,4.1,2.03E-07,0.98178
222,4.1,2.03E-07,0.979425
222,4.1,2.03E-07,0.979118
222,4.1,2.03E-07,0.979632
222,4.1,2.03E-07,0.978446
222,4.1,2.03E-07,0.978479
222,4.1,2.03E-07,0.978679
222,4.1,2.03E-07,0.978478
176,3.01,2.05E-07,0.991292
176,3.01,2.05E-07,0.995875
176,3.01,2.05E-07,0.99675
176,3.01,2.05E-07,0.997101
176,3.01,2.05E-07,0.997257
182,4.9,2.56E-07,0.995422
182,4.9,2.56E-07,0.995452
182,4.9,2.56E-07,0.995074
182,4.9,2.56E-07,0.994992
182,4.9,2.56E-07,0.99497
189,4.56,2.28E-07,0.996244
189,4.56,2.28E-07,0.996375
189,4.56,2.28E-07,0.996188
189,4.56,2.28E-07,0.996157
189,4.56,2.28E-07,0.996375
189,4.56,2.28E-07,0.996172
189,4.56,2.28E-07,0.99639
189,4.56,2.28E-07,0.996653
189,4.56,2.28E-07,0.996511
189,4.56,2.28E-07,0.996223
192,3.76,2.58E-07,0.99729
192,3.76,2.58E-07,0.997449
192,3.76,2.58E-07,0.997045
192,3.76,2.58E-07,0.996801
192,3.76,2.58E-07,0.996676
215,4.76,1.79E-07,0.995715
215,4.76,1.79E-07,0.995364
